"tax_id"	"name"	"tax_rank"
27971	"Enterocytozoon"	"genus"
54410	"Nucleospora"	"genus"
696958	"Desmozoon"	"genus"
723275	"Paranucleospora"	"genus"
1081667	"Hepatospora"	"genus"
1081670	"Enterospora"	"genus"
1505741	"Obruspora"	"genus"
27975	"Ichthyosporidium"	"genus"
27977	"Nosema"	"genus"
42398	"Vittaforma"	"genus"
232682	"Brachiola"	"genus"
235219	"Paranosema"	"genus"
6033	"Encephalitozoon"	"genus"
103453	"Microgemma"	"genus"
148816	"Orthosomella"	"genus"
1911464	"Unikaryon"	"genus"
1929977	"Rugispora"	"genus"
2914453	"Toguebayea"	"genus"
70533	"Culicosporella"	"genus"
102171	"Weiseria"	"genus"
191623	"Culicospora"	"genus"
322688	"Caudospora"	"genus"
88068	"Bacillidium"	"genus"
207706	"Schroedera"	"genus"
2681582	"Jirovecia"	"genus"
51540	"Spraguea"	"genus"
2171665	"Parahepatospora"	"genus"
6038	"Vairimorpha"	"genus"
1354219	"Multilamina"	"genus"
33687	"Amblyospora"	"genus"
33689	"Parathelohania"	"genus"
145414	"Intrapredatorus"	"genus"
191601	"Berwaldia"	"genus"
564177	"Andreanna"	"genus"
1129575	"Novothelohania"	"genus"
1393009	"Takaokaspora"	"genus"
35233	"Pleistophora"	"genus"
35235	"Vavraia"	"genus"
72358	"Trachipleistophora"	"genus"
157915	"Ovipleistophora"	"genus"
157917	"Heterosporis"	"genus"
446472	"Ovavesicula"	"genus"
875469	"Dasyatispora"	"genus"
36736	"Glugea"	"genus"
54561	"Loma"	"genus"
136617	"Cystosporogenes"	"genus"
174679	"Glugoides"	"genus"
2816967	"Cambaraspora"	"genus"
2887299	"Fusasporis"	"genus"
72221	"Thelohania"	"genus"
174681	"Larssonia"	"genus"
200884	"Hyalinocysta"	"genus"
319742	"Systenostrema"	"genus"
366551	"Agmasoma"	"genus"
2336753	"Inodosporus"	"genus"
103451	"Janacekia"	"genus"
103455	"Polydispyrenia"	"genus"
103458	"Flabelliforma"	"genus"
721131	"Neoflabelliforma"	"genus"
1176354	"Hamiltosporidium"	"genus"
1670957	"Myrmecomorba"	"genus"
2932330	"Astathelohania"	"genus"
27980	"Ameson"	"genus"
408670	"Perezia"	"genus"
42400	"Endoreticulatus"	"genus"
67677	"Antonospora"	"genus"
67679	"Visvesvaria"	"genus"
142464	"Nadelspora"	"genus"
144516	"Microsporidium"	"genus"
146865	"Pseudoloma"	"genus"
155559	"Kabatana"	"genus"
158178	"Tetramicra"	"genus"
174684	"Ordospora"	"genus"
174687	"Gurleya"	"genus"
191604	"Hazardia"	"genus"
257490	"Marssoniella"	"genus"
322148	"Episeptum"	"genus"
1966662	"Paraepiseptum"	"genus"
200898	"Oligosporidium"	"genus"
202243	"Bryonosema"	"genus"
202246	"Pseudonosema"	"genus"
202248	"Trichonosema"	"genus"
2592605	"Nematocenator"	"genus"
238874	"Trichotuzetia"	"genus"
272565	"Myosporidium"	"genus"
279531	"Dictyocoela"	"genus"
322146	"Cougourdella"	"genus"
70535	"Edhazardia"	"genus"
322153	"Pyrotheca"	"genus"
372985	"Liebermannia"	"genus"
389636	"Senoma"	"genus"
485629	"Heterovesicula"	"genus"
527207	"Euplotespora"	"genus"
557759	"Potaspora"	"genus"
570443	"Binucleata"	"genus"
586132	"Nematocida"	"genus"
657446	"Octosporea"	"genus"
671096	"Mrazekia"	"genus"
797449	"Anisofilariata"	"genus"
856669	"Helmichia"	"genus"
908468	"Trichoctosporea"	"genus"
926061	"Myospora"	"genus"
1028726	"Neoperezia"	"genus"
1169102	"Mockfordia"	"genus"
1670404	"Facilispora"	"genus"
1261139	"Sporanauta"	"genus"
1352047	"Enterocytospora"	"genus"
1352048	"Anostracospora"	"genus"
1633384	"Mitosporidium"	"genus"
1649875	"Cucumispora"	"genus"
1676149	"Crispospora"	"genus"
1798882	"Globulispora"	"genus"
1811191	"Paradoxium"	"genus"
1818887	"Agglomerata"	"genus"
1818889	"Alfvenia"	"genus"
1866960	"Amphiamblys"	"genus"
1892435	"Amphiacantha"	"genus"
1911462	"Hyperspora"	"genus"
1912988	"Enteropsectra"	"genus"
1939651	"Pancytospora"	"genus"
1966666	"Zelenkaia"	"genus"
1978550	"Lanatospora"	"genus"
2204097	"Percutemincola"	"genus"
2211148	"Apotaspora"	"genus"
2248763	"Metchnikovella"	"genus"
2686021	"Pseudoberwaldia"	"genus"
2735266	"Globosporidium"	"genus"
2784601	"Alternosema"	"genus"
2835649	"Triwangia"	"genus"
291194	"Tubulinosema"	"genus"
311453	"Anncaliia"	"genus"
694062	"Kneallhazia"	"genus"
253632	"Fibrillanosema"	"genus"
2072736	"Fibrillaspora"	"genus"
2293872	"Chytridiopsis"	"genus"
2483381	"Conglomerata"	"genus"
