column,microsporidia_species,original_value,manually_corrected_value,reason_for_correction
Locality,Agglomerata cladocera (siberian isolate),(Novosibirsk region) Western Siberia,"Russia (Novosibirsk region, Western Siberia)",Siberia is a part of russia
Locality,Amblyospora burlaki,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Amblyospora caspius,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Amblyospora flavescens,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Amblyospora kolarovi,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Amblyospora orbiculata,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Amblyospora rugosa,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Andreanna caspii,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Crepidula beklemishevi,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Dimeiospora palustris,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Pankovaia semitubulata,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Parathelohania divulgata,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Parathelohania formosa,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Parathelohania sibirika,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Parathelohania teguldeti,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Parathelohania tomski,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Tuzetia dualis,Siberia,Russia (Siberia),Siberia is a part of russia
Locality,Amblyospora mavlukevia,"(pond (Mavlukeevskoe lake) within Tom River flood plain, Tomsk region, Western Siberia) Russia","Russia (pond in Mavlukeevskoe lake within Tom River flood plain, Tomsk region, Western Siberia)",nested brackets are inconsistent with formatting of other locality entries
Locality,Ameson herrnkindi,(Atlantic coast of FL) USA,"USA (Atlantic Coast, Florida)",Full state name should be recorded
Locality,Canningia tomici,"Europe, USA (MI)",Europe; USA (Michigan),"Full state name should be recorded, separate localities should be separated by semicolons"
Locality,Nosema dryocoetesi,Federal Republic of Germany (Lower Saxony),Germany (Lower Saxony),just writing ‘Germany’ is enough
Locality,Pleistophora malthodes,Federal Republic of Germany (Lower Saxony),Germany (Lower Saxony),just writing ‘Germany’ is enough
Locality,Pleistophora xyloteri,Federal Republic of Germany (Lower Saxony),Germany (Lower Saxony),just writing ‘Germany’ is enough
Locality,Nucleospora cyclopteri,(Skagafjordur) northern Iceland; Norway,Iceland (Skagafjordur); Norway,'northern’ isn’t consistent with how other countries are recorded in localities
Locality,Tubulinosema loxostegi,"(Karasuk district, Novosibirsk region) Russian Federation","Russia (Karasuk district, Novosibirsk region)",just writing ‘Russia’ is enough
Locality,Unnamed Nosema sp. 506,USA (MS),USA (Mississippi),Full state name should be recorded
Locality,Tuzetia weidneri,USA (MS),USA (Mississippi),Full state name should be recorded
Hosts,Alfvenia ceriodaphniae,Ceriodaphniae,Ceriodaphnia reticulata,originally recorded host name was incomplete
Hosts,Dictyocoela diporeiae,Diporeia sp.; Amphipoda; Gammaridea,Diporeia spp.,"Diporeia spp. Is what actually appears in text, Amphipoda and Gammaridea are orders and don’t actually correspond to any hosts"
Hosts,Alternosema bostrichidis,Prostephanus truncatus; Dinoderus bifoveolatus; Dinoderus porcellus; Dinoderus minutus,Prostephanus truncatus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora abserrati,Aedes abserratus; Acanthocyclops vernalis,Aedes abserratus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora aestiva,Aedes dorsalis; Aedes caspius,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora bakcharia,Ochlerotatus excrucians,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora baritia,Ochlerotatus excrucians,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora bogashovia,Ochlerotatus excrucians,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora certa,Aedes cinereus,Ae. cinerus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora chulymia,Ochlerotatus caspius,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora cinerei,Aedes cinereus; Acanthocyclops vernalis,Aedes cinereus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora dolosi,Culex dolosus; Metacyclops mendocinus,Culex dolosus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora dyxenoides,Culex annulirostris; Mesocyclops sp.; Mesocyclops albicans,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora excrucii,Aedes excrucians,Aedes excruciates,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora firma,Aedes punctor,Ae. punctor,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora flavescens,Aedes sp.; Culex sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
