species,year_first_described,first_paper_reference,first_paper_title,abstract,title_abstract,foreign,hosts,infection_site,spore_length_range,spore_width_range,spore_length_avg,spore_width_avg,spore_shape,locality,nucleus,pt_max,pt_min,pt_avg,pt_coils_range,pt_coils_avg,all_references,num_papers
Abelspora portucalensis (1),1987,"Azevedo, Carlos. “Fine Structure of the Microsporidan Abelspora Portucalensis Gen.n., Sp.n. (Microsporida) Parasite of the Hepatopancreas of Carcinus Maenas (Crustacea, Decapoda).” Journal of Invertebrate Pathology 49, no. 1 (January 1987): 83–92. https://doi.org/10.1016/0022-2011(87)90129-7","Fine structure of the microsporidan Abelspora portucalensis gen.n., sp.n. (Microsporida) parasite of the hepatopancreas of Carcinus maenas (Crustacea, Decapoda)","A new species of a microsporidan, Abelspora portucalensis, was found in the hepatopancreas of Carcinus maenas. forming white xenomas. Each xenoma seems to consist of an aggregate of hypertrophic host cells in which the parasite develops and proliferates. This cytozoic microsporidan being characterized by one uninucleate schizont giving rise to two sporonts. each originating two sporoblasts, resulting in two spores within a persistent sporophorous vacuole (pansporoblast) should be included in a new family Abelsporidue. In fresh smears most spores were 3.1-3.2 um long and 1.2-1.4 um wide. Fixed, stained, and observed in SUS mature spores measured 3.1 ± 0.08 x 1.3 ± 0.06 um (n = 25 measurements). Spore cytoplasm was dense and granular. Polyribosomes were arranged in helicoidal tape form. The polar filament was anisofilar and consisted of a single coil with 5-6 turns. The anchoring disc and and the anterior zone of the filament are surrounded by the polaroplast composed of two usual zones. In the anterior zone, the membrane of the polar filament is in continuity with the membranes of the polaroplast. The appearance of a microsporidan with described nuclear divisions in life cycle. spores shape and size. polaroplast and polar filament morphology and identity of the host suggests that we may erect a new genus Abelspora and a new species A. portucalensis (Portugal = Portucalem).","Fine structure of the microsporidan Abelspora portucalensis gen.n., sp.n. (Microsporida) parasite of the hepatopancreas of Carcinus maenas (Crustacea, Decapoda). A new species of a microsporidan, Abelspora portucalensis, was found in the hepatopancreas of Carcinus maenas. forming white xenomas. Each xenoma seems to consist of an aggregate of hypertrophic host cells in which the parasite develops and proliferates. This cytozoic microsporidan being characterized by one uninucleate schizont giving rise to two sporonts. each originating two sporoblasts, resulting in two spores within a persistent sporophorous vacuole (pansporoblast) should be included in a new family Abelsporidue. In fresh smears most spores were 3.1-3.2 um long and 1.2-1.4 um wide. Fixed, stained, and observed in SUS mature spores measured 3.1 ± 0.08 x 1.3 ± 0.06 um (n = 25 measurements). Spore cytoplasm was dense and granular. Polyribosomes were arranged in helicoidal tape form. The polar filament was anisofilar and consisted of a single coil with 5-6 turns. The anchoring disc and and the anterior zone of the filament are surrounded by the polaroplast composed of two usual zones. In the anterior zone, the membrane of the polar filament is in continuity with the membranes of the polaroplast. The appearance of a microsporidan with described nuclear divisions in life cycle. spores shape and size. polaroplast and polar filament morphology and identity of the host suggests that we may erect a new genus Abelspora and a new species A. portucalensis (Portugal = Portucalem).",FALSE,Carcinus maenas,NA,NA,NA,3.15(fresh); 3.1(stained),1.3(fresh); 1.3(stained),ellipsoid,Portugal,1,NA,NA,NA,5 - 6,5.5,"1. Azevedo, Carlos. “Fine Structure of the Microsporidan Abelspora Portucalensis Gen.n., Sp.n. (Microsporida) Parasite of the Hepatopancreas of Carcinus Maenas (Crustacea, Decapoda).” Journal of Invertebrate Pathology 49, no. 1 (January 1987): 83–92. https://doi.org/10.1016/0022-2011(87)90129-7",2
Abelspora portucalensis (2),1987,"Azevedo, Carlos. “Fine Structure of the Microsporidan Abelspora Portucalensis Gen.n., Sp.n. (Microsporida) Parasite of the Hepatopancreas of Carcinus Maenas (Crustacea, Decapoda).” Journal of Invertebrate Pathology 49, no. 1 (January 1987): 83–92. https://doi.org/10.1016/0022-2011(87)90129-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. Rocha E, Monteiro RAF. Ultrastructural qualitative and quantitative data on the sporogenesis of the protozoanAbelspora portucalensis (microspora, abelsporidae): A different approach to the study of microsporidia. J Morphol. 1992;213:295–303.",2
Acarispora falculifera,2015,"Radek R, Kariton M, Dabert J, Alberti G. Ultrastructural characterization of Acarispora falculifera n.gen., n.sp., a new microsporidium (Opisthokonta: Chytridiopsida) from the feather mite Falculifer rostratus (Astigmata: Pterolichoidea). Acta Parasit. 2015;60:200–10.","Ultrastructural characterization of Acarispora falculifera n.gen., n.sp., a new microsporidium (Opisthokonta: Chytridiopsida) from the feather mite Falculifer rostratus (Astigmata: Pterolichoidea)","Only about 20 species of microsporidia have been described from mites. All except one species produce typical spores with a long polar filament and a polaroplast. This paper is the first study of an atypical microsporidium infection in a feather mite (Falculifer rostratus). The infection of the pigeon feather mite is restricted to the colon epithelium where it leads to hypertrophy of the concerned cells. During sporogony, a multinucleate plasmodial aggregate is formed within a sporont (endogenous sporogony resulting in a polysporophorous vesicle). The cisterns delimiting the single sporoblasts later form the spore walls. Sporogonial stages are in direct contact to the host cell cytoplasm. Merogonial stages were not present. Spores are tiny (3.6 μm × 2.6 μm), broad oval in form and monokaryotic. The spore wall of mature spores consists of a three-layered endospore and a thin, electron-dense, wavy exospore. The polar filament is anisofilar and completely coiled in 3–4 turns. In cross-sections, it has a star-like appearance because the electron-dense core forms rounded compartments of lucent material at its surface. In superficial sections, this results in a honeycomb-like pattern. A polaroplast is missing. The polar filament arises subapically at a polar sac that lacks an internal anchoring disk. These atypical spore structures clearly classify the species from the feather mite as a member of the order Chytridiopsida. It could not be clearly affiliated to one of the known genera, so we created a new genus, Acarispora, with the species A. Falculifera.","Ultrastructural characterization of Acarispora falculifera n.gen., n.sp., a new microsporidium (Opisthokonta: Chytridiopsida) from the feather mite Falculifer rostratus (Astigmata: Pterolichoidea). Only about 20 species of microsporidia have been described from mites. All except one species produce typical spores with a long polar filament and a polaroplast. This paper is the first study of an atypical microsporidium infection in a feather mite (Falculifer rostratus). The infection of the pigeon feather mite is restricted to the colon epithelium where it leads to hypertrophy of the concerned cells. During sporogony, a multinucleate plasmodial aggregate is formed within a sporont (endogenous sporogony resulting in a polysporophorous vesicle). The cisterns delimiting the single sporoblasts later form the spore walls. Sporogonial stages are in direct contact to the host cell cytoplasm. Merogonial stages were not present. Spores are tiny (3.6 μm × 2.6 μm), broad oval in form and monokaryotic. The spore wall of mature spores consists of a three-layered endospore and a thin, electron-dense, wavy exospore. The polar filament is anisofilar and completely coiled in 3–4 turns. In cross-sections, it has a star-like appearance because the electron-dense core forms rounded compartments of lucent material at its surface. In superficial sections, this results in a honeycomb-like pattern. A polaroplast is missing. The polar filament arises subapically at a polar sac that lacks an internal anchoring disk. These atypical spore structures clearly classify the species from the feather mite as a member of the order Chytridiopsida. It could not be clearly affiliated to one of the known genera, so we created a new genus, Acarispora, with the species A. Falculifera.",FALSE,Falculifer rostratus,Gut epithelium of colon,3.6 (fixed),2.6 (fixed),3.6 (fixed),2.6,broad ovoid,(Near Greifswald) Germany,1,NA,NA,NA,3 - 4,3.5,"Radek R, Kariton M, Dabert J, Alberti G. Ultrastructural characterization of Acarispora falculifera n.gen., n.sp., a new microsporidium (Opisthokonta: Chytridiopsida) from the feather mite Falculifer rostratus (Astigmata: Pterolichoidea). Acta Parasit. 2015;60:200–10.",1
Agglomerata cladocera (siberian isolate),2016,"Sokolova YY, Senderskiy IV, Tokarev YS. Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Journal of Invertebrate Pathology. 2016;136:81–91.","Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia","Here we report on two microsporidia from freshwater crustaceans collected during the ongoing survey for microsporidia in the river Karasuk and adjacent waterbodies (Novosibirsk region, Western Siberia). The first species parasitized hypoderm and fat body of a cyclopid Cyclops sp. (Maxillopoda, Copedoda) and produced oval spores, measured 2.0×3.6μm (fixed) enclosed individually or in small groups in fragile sporophorous vesicles (SVs). We describe it here as Alfvenia sibirica sp. n. The second species infected the same tissues of a cladoceran Daphnia magna (Branchiopoda, Phyllopoda). Its spores were pyriform, 2.3×4.0μm (fixed), and resided in relatively persistent SVs in groups of 8–16. This species was identified as a Siberian isolate (Si) of Agglomerata cladocera (Pfeifer) because ultrastructurally it was hardly distinguishable from A. cladocera recorded from England from the same host (Larsson et al., 1996). A. cladocera (Si) shared 99% SSU rDNA sequence similarity to Binucleata daphniae from D. magna collected in Belgium (Refardt et al., 2008). The major outcome of our work is that we present molecular (SSUrDNA) characterization coupled with EM description, for representatives of two genera, Alfvenia (encompasses 3 described so far species) and Agglomerata (7 species), which allowed us to place these two genera on the phylogenetic tree. We also summarized the literature data on Alfvenia and Agglomerata spp., and provided their comparative morphological analysis. These two genera belong to so called “Aquatic outgroup” (Vossbrinck et al., 2004), a poorly resolved lineage, a sister to Amblyosporidae. This lineage probably includes majority of fresh water forms of microsporidia, most of which remain undescribed. SSUrDNA-based phylogenetic analysis and analysis of hosts suggest that diversification within the “Aquatic outgroup” could have been connected with the host switch from dipterans or copepods to cladocerans that had occurred in some ancestral Amblyospora-related lineage(s).","Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Here we report on two microsporidia from freshwater crustaceans collected during the ongoing survey for microsporidia in the river Karasuk and adjacent waterbodies (Novosibirsk region, Western Siberia). The first species parasitized hypoderm and fat body of a cyclopid Cyclops sp. (Maxillopoda, Copedoda) and produced oval spores, measured 2.0×3.6μm (fixed) enclosed individually or in small groups in fragile sporophorous vesicles (SVs). We describe it here as Alfvenia sibirica sp. n. The second species infected the same tissues of a cladoceran Daphnia magna (Branchiopoda, Phyllopoda). Its spores were pyriform, 2.3×4.0μm (fixed), and resided in relatively persistent SVs in groups of 8–16. This species was identified as a Siberian isolate (Si) of Agglomerata cladocera (Pfeifer) because ultrastructurally it was hardly distinguishable from A. cladocera recorded from England from the same host (Larsson et al., 1996). A. cladocera (Si) shared 99% SSU rDNA sequence similarity to Binucleata daphniae from D. magna collected in Belgium (Refardt et al., 2008). The major outcome of our work is that we present molecular (SSUrDNA) characterization coupled with EM description, for representatives of two genera, Alfvenia (encompasses 3 described so far species) and Agglomerata (7 species), which allowed us to place these two genera on the phylogenetic tree. We also summarized the literature data on Alfvenia and Agglomerata spp., and provided their comparative morphological analysis. These two genera belong to so called “Aquatic outgroup” (Vossbrinck et al., 2004), a poorly resolved lineage, a sister to Amblyosporidae. This lineage probably includes majority of fresh water forms of microsporidia, most of which remain undescribed. SSUrDNA-based phylogenetic analysis and analysis of hosts suggest that diversification within the “Aquatic outgroup” could have been connected with the host switch from dipterans or copepods to cladocerans that had occurred in some ancestral Amblyospora-related lineage(s).",FALSE,Daphnia magna,Hypoderm; adipose,4.0 (fixed),2.3 (fixed),4.0 (fixed),2.3 (fixed),pyriform,(Novosibirsk region) Western Siberia,1,NA,NA,NA,5 - 7,6,"Sokolova YY, Senderskiy IV, Tokarev YS. Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Journal of Invertebrate Pathology. 2016;136:81–91.",1
Agglomerata connexa,2001,"Ovcharenko M, Wita I. Ultrastructural study of Agglomerata connexa sp. nov. (Microspora, Duboscqiidae), a new microsporidian parasite of Daphnia longispina (Cladocera, Daphniidae). Acta Parasitol. 2001;46:94–102.","Ultrastructural study of Agglomerata connexa sp. nov. (Microspora, Duboscqiidae), a new microsporidian parasite of Daphnia longispina (Cladocera, Daphniidae)","The new microsporidium, Agglomerata connexa sp. nov., is described, based primarily on ultrastructural characteristies. The parasite infeets the adipose tissue of Daphnia longispina O.F. Müller, 1785. All life cycle stages have isolated nuclei. Sporogonial reproduction is by rosette- or finger-like budding. Sporophorous vesicles contain not more than 4 mature spores, most vesicles are monosporous, and usually devoid of inclusions. Rare aggregates of tubules are visible inside multisporaus and outside of individual sporophorous vesicles. Often two or moreindividual vesieles form a chain-like strueture. Unfixed spores are pyriform, measuring 4.08 ± 0.27 x 2.72 ± 0.24 um. The exospore is layered, approximately 30 nm thick. The polar filament is isofilar, 140 nm wide, making 5-7 coils in the posterior half of the spore. The polaroplast has three subdivisions: wide lamellae, narrow lamellae and tubules. Diserimination from other microsporidian species is discussed.","Ultrastructural study of Agglomerata connexa sp. nov. (Microspora, Duboscqiidae), a new microsporidian parasite of Daphnia longispina (Cladocera, Daphniidae). The new microsporidium, Agglomerata connexa sp. nov., is described, based primarily on ultrastructural characteristies. The parasite infeets the adipose tissue of Daphnia longispina O.F. Müller, 1785. All life cycle stages have isolated nuclei. Sporogonial reproduction is by rosette- or finger-like budding. Sporophorous vesicles contain not more than 4 mature spores, most vesicles are monosporous, and usually devoid of inclusions. Rare aggregates of tubules are visible inside multisporaus and outside of individual sporophorous vesicles. Often two or moreindividual vesieles form a chain-like strueture. Unfixed spores are pyriform, measuring 4.08 ± 0.27 x 2.72 ± 0.24 um. The exospore is layered, approximately 30 nm thick. The polar filament is isofilar, 140 nm wide, making 5-7 coils in the posterior half of the spore. The polaroplast has three subdivisions: wide lamellae, narrow lamellae and tubules. Diserimination from other microsporidian species is discussed.",FALSE,Daphnia longispina,adipose tissue (main infection site); systemic infection (except muscles and digestive tube),NA,NA,4.08 -+ 0.27 (fresh); 3.37 -+ 0.34 (stained),2.72 -+ 0.24 (fresh); 1.97 -+ 0.63 (stained),pyriform,Poland,1,NA,NA,NA,5 - 7,6,"1. Ovcharenko M, Wita I. Ultrastructural study of Agglomerata connexa sp. nov. (Microspora, Duboscqiidae), a new microsporidian parasite of Daphnia longispina (Cladocera, Daphniidae). Acta Parasitol. 2001;46:94–102.",1
Agglomerata daphnia,2020,"Weng M, Liu X, Zhao Y, Xie D, Zhang Q, Sato H, et al. Morphological and molecular characterization of a new species, Agglomerata daphniae n. sp. from the hypoderm of Daphnia magna (Crustacea: Daphniidae). J Invertebr Pathol. 2020;177:107501.","Morphological and molecular characterization of a new species, Agglomerata daphniae n. sp. from the hypoderm of Daphnia magna (Crustacea: Daphniidae)","A new microsporidian species was described from the hypoderm of Daphnia magna sampled from gibel carp (Carassius auratus gibelio) ponds located in Wuhan city, China. The infected cladocerans generally appeared opaque due to numerous plasmodia distributed in the host integument. The earliest stages observed were uninucleate meronts that were in direct contact with the host cell cytoplasm. Meronts developed into multinucleate sporogonial plasmodia enclosed in sporophorous vesicles. Sporoblasts were produced by the rosette-like division of sporogonial division. Mature spores were pyriform and monokaryotic, measuring 4.48 ± 0.09 (4.34-4.65) µm long and 2.40 ± 0.08 (2.18-2.54) µm wide. The polaroplast was bipartite with loose anterior lamellae and tight posterior lamellae. Polar filaments, arranged in two rows, were anisofilar with two wider anterior coils, and five narrower posterior coils. The exospore was covered with fibrous secretions and was composed of four layers. Phylogenetic analysis based on the obtained SSU rDNA sequence, indicated that the present species clustered with three unidentified Daphnia pulicaria-infecting microsporidia with high support values to form a monophyletic lineage, rather than with the congener, Agglomerata cladocera. The barcode motif of the internal transcribed spacer (ITS) region of the novel species was unique among representatives of the ""Agglomeratidae"" sensu clade (Vávra et al., 2018). Based on the morphological characters and SSU rDNA-inferred phylogenetic analyses, a new species was erected and named as Agglomerata daphniae n. sp. This is the first report of zooplankton-infecting microsporidia in China.","Morphological and molecular characterization of a new species, Agglomerata daphniae n. sp. from the hypoderm of Daphnia magna (Crustacea: Daphniidae). A new microsporidian species was described from the hypoderm of Daphnia magna sampled from gibel carp (Carassius auratus gibelio) ponds located in Wuhan city, China. The infected cladocerans generally appeared opaque due to numerous plasmodia distributed in the host integument. The earliest stages observed were uninucleate meronts that were in direct contact with the host cell cytoplasm. Meronts developed into multinucleate sporogonial plasmodia enclosed in sporophorous vesicles. Sporoblasts were produced by the rosette-like division of sporogonial division. Mature spores were pyriform and monokaryotic, measuring 4.48 ± 0.09 (4.34-4.65) µm long and 2.40 ± 0.08 (2.18-2.54) µm wide. The polaroplast was bipartite with loose anterior lamellae and tight posterior lamellae. Polar filaments, arranged in two rows, were anisofilar with two wider anterior coils, and five narrower posterior coils. The exospore was covered with fibrous secretions and was composed of four layers. Phylogenetic analysis based on the obtained SSU rDNA sequence, indicated that the present species clustered with three unidentified Daphnia pulicaria-infecting microsporidia with high support values to form a monophyletic lineage, rather than with the congener, Agglomerata cladocera. The barcode motif of the internal transcribed spacer (ITS) region of the novel species was unique among representatives of the ""Agglomeratidae"" sensu clade (Vávra et al., 2018). Based on the morphological characters and SSU rDNA-inferred phylogenetic analyses, a new species was erected and named as Agglomerata daphniae n. sp. This is the first report of zooplankton-infecting microsporidia in China.",FALSE,Daphnia magna (found in Carassius auratus gibelio),hypoderm,4.34 – 4.65,2.18 – 2.54,4.48 ± 0.09 (fresh),2.40 ± 0.08 (fresh),pyriform,China (Wuhan),1,NA,NA,NA,NA,7,"1. Weng M, Liu X, Zhao Y, Xie D, Zhang Q, Sato H, et al. Morphological and molecular characterization of a new species, Agglomerata daphniae n. sp. from the hypoderm of Daphnia magna (Crustacea: Daphniidae). J Invertebr Pathol. 2020;177:107501.",1
Agglomerata lacrima,2001,"Bronnvall AM, Larsson JIR. Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae). Eur J Protistol. Elsevier Science; 2001;37:89–102.","Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae)","Agglomerata lacrima n. sp. is the first species of the genus described from a copepod host (Acanthocyclops vernalis.) It was studied using light- and electron-microscopy. All stages of the life-cycle had isolated nuclei. The earliest stages found were uninucleate merozoites. Sporogony produced 4-12 (mostly 8) pyriform spores by rosette-like budding within a fragile sporophorous vesicle. Live spores measured 4.4 +/- 0.2 x 2.6 +/- 0.2 μm, and fixed spores measured 3.7 +/- 0.2 x 1.6 +/- 0.2 μm. The exospore was constructed of 4 layers. The anisofilar polar filament made 5-6 coils in the posterior half of the spore. The polaroplast had an anterior part with wide lamellae (chambers), followed by a second zone of narrow lamellae. Tubule-like structures which might constitute a third polaroplast region were present immediately anterior to the first filament coil. Cytological characteristics and the generic position of the species are discussed, and it is compared to related or resembling species, and to all previously reported microsporidian species from copepods.","Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae). Agglomerata lacrima n. sp. is the first species of the genus described from a copepod host (Acanthocyclops vernalis.) It was studied using light- and electron-microscopy. All stages of the life-cycle had isolated nuclei. The earliest stages found were uninucleate merozoites. Sporogony produced 4-12 (mostly 8) pyriform spores by rosette-like budding within a fragile sporophorous vesicle. Live spores measured 4.4 +/- 0.2 x 2.6 +/- 0.2 μm, and fixed spores measured 3.7 +/- 0.2 x 1.6 +/- 0.2 μm. The exospore was constructed of 4 layers. The anisofilar polar filament made 5-6 coils in the posterior half of the spore. The polaroplast had an anterior part with wide lamellae (chambers), followed by a second zone of narrow lamellae. Tubule-like structures which might constitute a third polaroplast region were present immediately anterior to the first filament coil. Cytological characteristics and the generic position of the species are discussed, and it is compared to related or resembling species, and to all previously reported microsporidian species from copepods.",FALSE,Acanthocyclops vernalis,hypodermal; adipose,4.2-4.6 um (fresh); 3.7 ± 0.2 um (fixed),2.4-2.8 um (fresh); 1.6 ± 0.2 um (fixed),4.4 um (fresh); 3.7 ± 0.2 um (fixed),2.6 um (fresh); 1.6 ± 0.2 um (fixed),pyriform,Sweden,1,NA,NA,NA,6,6,"1. Bronnvall AM, Larsson JIR. Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae). Eur J Protistol. Elsevier Science; 2001;37:89–102.",1
Agglomerata volgensae,2000,"Larsson JIR, Voronin VN. Light and electron microscopic study of Agglomerata volgensae n. sp. (Microspora: Dubosqiidae), a new microsporidian parasite of Daphnia magna (Crustacea: Daphniidae). Eur J Protistol. 2000;36:89–99.","Light and electron microscopic study of Agglomerata volgensae n. sp. (Microspora: Dubosqiidae), a new microsporidian parasite of Daphnia magna (Crustacea: Daphniidae)","The new microsporidium Agglomerata volgensae n. sp. is described based on light microscopic and ultrastructural characteristics. The parasite invades the hypoderm and adipose tissue of Daphnia magna and causes hypertrophy. All life cycle stages have isolated nuclei. Sporogonial plasmodia divide by rosette-like division, producing 4-16, usually 8, sporoblasts. A sporophorous vesicle is initiated after the first nuclear division of the sporont. The fragile vesicle either collects all daughter cells of the sporont, or the vesicle divides together with the plasmodium to enclose spores in individual sporophorous vesicles. Fibril-like projections connect the exospore with the envelope of the sporophorous vesicle. Tubules, with walls of exospore material, are formed together with the sporoblasts. Mature spores are pyriform with pointed anterior pole and an obliquely positioned posterior vacuole. Unfixed spores measure 3.2-3.7x1.7-2.0 μm. The exospore is layered, approximately 38 nm thick. The polar filament is lightly anisofilar with 2-3 wide anterior coils, and 2-3 more narrow posterior coils, in a single layer of coils in the posterior half of the spore. The polaroplast has two regions: irregular wide lamellae or chambers surrounding the straight part of the filament, and more loosely arranged narrow lamellae in the coil region. The discrimination from other microsporidian species and the systematic position are briefly discussed.","Light and electron microscopic study of Agglomerata volgensae n. sp. (Microspora: Dubosqiidae), a new microsporidian parasite of Daphnia magna (Crustacea: Daphniidae). The new microsporidium Agglomerata volgensae n. sp. is described based on light microscopic and ultrastructural characteristics. The parasite invades the hypoderm and adipose tissue of Daphnia magna and causes hypertrophy. All life cycle stages have isolated nuclei. Sporogonial plasmodia divide by rosette-like division, producing 4-16, usually 8, sporoblasts. A sporophorous vesicle is initiated after the first nuclear division of the sporont. The fragile vesicle either collects all daughter cells of the sporont, or the vesicle divides together with the plasmodium to enclose spores in individual sporophorous vesicles. Fibril-like projections connect the exospore with the envelope of the sporophorous vesicle. Tubules, with walls of exospore material, are formed together with the sporoblasts. Mature spores are pyriform with pointed anterior pole and an obliquely positioned posterior vacuole. Unfixed spores measure 3.2-3.7x1.7-2.0 μm. The exospore is layered, approximately 38 nm thick. The polar filament is lightly anisofilar with 2-3 wide anterior coils, and 2-3 more narrow posterior coils, in a single layer of coils in the posterior half of the spore. The polaroplast has two regions: irregular wide lamellae or chambers surrounding the straight part of the filament, and more loosely arranged narrow lamellae in the coil region. The discrimination from other microsporidian species and the systematic position are briefly discussed.",FALSE,Daphnia magna,hypodermal; adipose,3.1-3.7 um,1.7-2.0 um,3.4 um,1.85 um,pyriform,Russia,1,NA,NA,NA,5-6,5.5,"1. Larsson JIR, Voronin VN. Light and electron microscopic study of Agglomerata volgensae n. sp. (Microspora: Dubosqiidae), a new microsporidian parasite of Daphnia magna (Crustacea: Daphniidae). Eur J Protistol. 2000;36:89–99.",1
Agmasoma aquinoae,1988,"Enriquez, Gloria L., and Victor Sprague. “Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns 1.” The Journal of Protozoology 35, no. 2 (May 1988): 320–21. https://doi.org/10.1111/j.1550-7408.1988.tb04350.x.",Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns,"A previously reported microsporidium in Penaeus merguiensis de Man, 1888(Decapoda,Penaeidae). in the Philippines has been identified as a species of Agmasoma Hazard & Oldacre, 1975, and named Agmasoma aquinoae n. sp. (Microsponda, Thelohaniidae).","Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns. A previously reported microsporidium in Penaeus merguiensis de Man, 1888(Decapoda,Penaeidae). in the Philippines has been identified as a species of Agmasoma Hazard & Oldacre, 1975, and named Agmasoma aquinoae n. sp. (Microsponda, Thelohaniidae).",FALSE,Penaeus merguiensis,NA,NA,NA,"3 (normal spores, fresh); 5.85 (macrospores)","1.85(normal spores, fresh); 2.9 (macrospores)",pyriform,Philippines,1 (normal spores); 1 (macrospores),NA,NA,NA,NA,NA,"Enriquez, Gloria L., and Victor Sprague. “Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns 1.” The Journal of Protozoology 35, no. 2 (May 1988): 320–21. https://doi.org/10.1111/j.1550-7408.1988.tb04350.x.",1
Alfvenia ceriodaphniae,1991,"Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). Parazitologiya. 1995;29:214–8.","Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera)","On the basis of electronmicroscopic data the description of Alfvenia ceriodaphniae sp. n. from Ceriodaphnia reticulata (Crustacea, Cladocera) is presented. The nuclear apparatus of meronts is diplokariotic. Sporonts, sporoblasts and spores are uninuclear. The sporogonial Plasmodium undertakes the rosette-like division with the formation of sporoblasts. Spores are egg-shaped, their size: 4.5(4.2-4.8) X 3.3(2.9-3.5) ц т . Evry spore lays individually inside the envelope, that is formed from the external layer of the sporoblast wall. Polar tube is isofillar, forming 8 - 9 coils. Polaroplast is consisted of the lamellar and chamber parts. The site of parasite localisation is crustacean hypoderm.","Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). On the basis of electronmicroscopic data the description of Alfvenia ceriodaphniae sp. n. from Ceriodaphnia reticulata (Crustacea, Cladocera) is presented. The nuclear apparatus of meronts is diplokariotic. Sporonts, sporoblasts and spores are uninuclear. The sporogonial Plasmodium undertakes the rosette-like division with the formation of sporoblasts. Spores are egg-shaped, their size: 4.5(4.2-4.8) X 3.3(2.9-3.5) ц т . Evry spore lays individually inside the envelope, that is formed from the external layer of the sporoblast wall. Polar tube is isofillar, forming 8 - 9 coils. Polaroplast is consisted of the lamellar and chamber parts. The site of parasite localisation is crustacean hypoderm.",TRUE,Ceriodaphniae,Hypodermis,NA,NA,4.5 (live),3.3 (live),ovoid,Lithuania,1,NA,NA,NA,8-9,NA,"Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). Parazitologiya. 1995;29:214–8.",1
