,verb,freq
3,describe,84
8,infect,35
0,find,29
16,base,24
6,isolate,13
2,collect,11
21,propose,11
70,name,8
59,cause,7
45,parasitize,7
29,have,6
19,ribosomal,5
53,suggest,4
63,report,4
37,fly,4
56,show,3
121,conduct,3
62,examine,3
92,confirm,3
51,induce,3
15,know,3
14,use,3
100,give,3
12,assign,3
33,represent,3
99,gain,3
110,discover,3
123,indicate,2
94,include,2
118,associate,2
112,transmit,2
95,invade,2
85,rear,2
77,observe,2
43,identify,2
124,obtain,2
18,define,2
34,record,2
26,form,2
27,microsporidie,2
101,dungeri,1
109,empoascae,1
108,be,1
107,redescribe,1
106,chrysorrhoeae,1
141,convergen,1
105,code,1
104,cultivate,1
103,distinguish,1
102,apyterygotae,1
130,tumbil,1
111,hermanniae,1
143,vary,1
144,appear,1
98,microtritiae,1
97,die,1
96,al,1
145,compare,1
146,conclude,1
93,store,1
147,highlight,1
148,exhibit,1
91,xenoma,1
142,expose,1
139,vexan,1
140,larvae,1
131,stand,1
129,dichroplusae,1
128,range,1
127,micrurum,1
126,complete,1
125,simocephali,1
89,accession,1
132,white,1
133,alburnus,1
122,classify,1
134,alburnu,1
120,accord,1
119,expand,1
135,istanbulensi,1
117,affect,1
116,spot,1
136,live,1
115,boop,1
114,neumanni,1
137,characterize,1
113,follow,1
138,nipponicus,1
90,tincae,1
75,clarify,1
88,differentiate,1
87,reveal,1
47,vitticep,1
46,develop,1
44,establish,1
42,diporeiae,1
41,study,1
40,make,1
39,measure,1
38,chironomi,1
36,bring,1
35,triploid,1
32,floridanus,1
31,transfer,1
30,line,1
28,maintain,1
25,offer,1
24,reflect,1
23,signify,1
22,heleio,1
20,limit,1
17,caspii,1
13,herrnkindi,1
11,polykarya,1
10,recover,1
9,pinensis,1
7,bloodsucke,1
5,metamorphose,1
4,vernali,1
48,romaleae,1
49,feed,1
50,brumata,1
72,cichlidarum,1
86,embiotocia,1
84,inhabit,1
83,farm,1
82,import,1
81,unrecognize,1
80,allow,1
79,support,1
78,suspect,1
76,contain,1
1,share,1
74,erect,1
73,do,1
71,locate,1
52,fail,1
69,take,1
68,catch,1
67,plecoglossi,1
66,consider,1
65,parasitise,1
64,atherinae,1
61,sequence,1
60,gen.et,1
58,prompt,1
57,intranuclear,1
55,prevent,1
54,evolve,1
149,assess,1
