species,title_abstract,species_corrected,hosts_corrected,infection_site,infection_site_parenthesized,infection_site_not_in_text,parenthesized_not_in_text,infection_site_corrected,parenthesized_corrected
Acarispora falculifera,"Ultrastructural characterization of Acarispora falculifera n.gen., n.sp., a new microsporidium (Opisthokonta: Chytridiopsida) from the feather mite Falculifer rostratus (Astigmata: Pterolichoidea). Only about 20 species of microsporidia have been described from mites. All except one species produce typical spores with a long polar filament and a polaroplast. This paper is the first study of an atypical microsporidium infection in a feather mite (Falculifer rostratus). The infection of the pigeon feather mite is restricted to the colon epithelium where it leads to hypertrophy of the concerned cells. During sporogony, a multinucleate plasmodial aggregate is formed within a sporont (endogenous sporogony resulting in a polysporophorous vesicle). The cisterns delimiting the single sporoblasts later form the spore walls. Sporogonial stages are in direct contact to the host cell cytoplasm. Merogonial stages were not present. Spores are tiny (3.6 μm × 2.6 μm), broad oval in form and monokaryotic. The spore wall of mature spores consists of a three-layered endospore and a thin, electron-dense, wavy exospore. The polar filament is anisofilar and completely coiled in 3–4 turns. In cross-sections, it has a star-like appearance because the electron-dense core forms rounded compartments of lucent material at its surface. In superficial sections, this results in a honeycomb-like pattern. A polaroplast is missing. The polar filament arises subapically at a polar sac that lacks an internal anchoring disk. These atypical spore structures clearly classify the species from the feather mite as a member of the order Chytridiopsida. It could not be clearly affiliated to one of the known genera, so we created a new genus, Acarispora, with the species A. Falculifera.",Acarispora falculifera,Falculifer rostratus,Gut epithelium of colon,NA,Gut epithelium of colon,NA,colon epithelium,NA
Agglomerata cladocera (siberian isolate),"Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Here we report on two microsporidia from freshwater crustaceans collected during the ongoing survey for microsporidia in the river Karasuk and adjacent waterbodies (Novosibirsk region, Western Siberia). The first species parasitized hypoderm and fat body of a cyclopid Cyclops sp. (Maxillopoda, Copedoda) and produced oval spores, measured 2.0×3.6μm (fixed) enclosed individually or in small groups in fragile sporophorous vesicles (SVs). We describe it here as Alfvenia sibirica sp. n. The second species infected the same tissues of a cladoceran Daphnia magna (Branchiopoda, Phyllopoda). Its spores were pyriform, 2.3×4.0μm (fixed), and resided in relatively persistent SVs in groups of 8–16. This species was identified as a Siberian isolate (Si) of Agglomerata cladocera (Pfeifer) because ultrastructurally it was hardly distinguishable from A. cladocera recorded from England from the same host (Larsson et al., 1996). A. cladocera (Si) shared 99% SSU rDNA sequence similarity to Binucleata daphniae from D. magna collected in Belgium (Refardt et al., 2008). The major outcome of our work is that we present molecular (SSUrDNA) characterization coupled with EM description, for representatives of two genera, Alfvenia (encompasses 3 described so far species) and Agglomerata (7 species), which allowed us to place these two genera on the phylogenetic tree. We also summarized the literature data on Alfvenia and Agglomerata spp., and provided their comparative morphological analysis. These two genera belong to so called “Aquatic outgroup” (Vossbrinck et al., 2004), a poorly resolved lineage, a sister to Amblyosporidae. This lineage probably includes majority of fresh water forms of microsporidia, most of which remain undescribed. SSUrDNA-based phylogenetic analysis and analysis of hosts suggest that diversification within the “Aquatic outgroup” could have been connected with the host switch from dipterans or copepods to cladocerans that had occurred in some ancestral Amblyospora-related lineage(s).",Agglomerata cladocera,Daphnia magna,Hypoderm; adipose,NA,adipose,NA,NA,NA
Agglomerata connexa,"Ultrastructural study of Agglomerata connexa sp. nov. (Microspora, Duboscqiidae), a new microsporidian parasite of Daphnia longispina (Cladocera, Daphniidae). The new microsporidium, Agglomerata connexa sp. nov., is described, based primarily on ultrastructural characteristies. The parasite infeets the adipose tissue of Daphnia longispina O.F. Müller, 1785. All life cycle stages have isolated nuclei. Sporogonial reproduction is by rosette- or finger-like budding. Sporophorous vesicles contain not more than 4 mature spores, most vesicles are monosporous, and usually devoid of inclusions. Rare aggregates of tubules are visible inside multisporaus and outside of individual sporophorous vesicles. Often two or moreindividual vesieles form a chain-like strueture. Unfixed spores are pyriform, measuring 4.08 ± 0.27 x 2.72 ± 0.24 um. The exospore is layered, approximately 30 nm thick. The polar filament is isofilar, 140 nm wide, making 5-7 coils in the posterior half of the spore. The polaroplast has three subdivisions: wide lamellae, narrow lamellae and tubules. Diserimination from other microsporidian species is discussed.",Agglomerata connexa,Daphnia longispina,adipose tissue; systemic infection,NA,systemic infection,NA,NA,NA
Agglomerata lacrima,"Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae). Agglomerata lacrima n. sp. is the first species of the genus described from a copepod host (Acanthocyclops vernalis.) It was studied using light- and electron-microscopy. All stages of the life-cycle had isolated nuclei. The earliest stages found were uninucleate merozoites. Sporogony produced 4-12 (mostly 8) pyriform spores by rosette-like budding within a fragile sporophorous vesicle. Live spores measured 4.4 +/- 0.2 x 2.6 +/- 0.2 μm, and fixed spores measured 3.7 +/- 0.2 x 1.6 +/- 0.2 μm. The exospore was constructed of 4 layers. The anisofilar polar filament made 5-6 coils in the posterior half of the spore. The polaroplast had an anterior part with wide lamellae (chambers), followed by a second zone of narrow lamellae. Tubule-like structures which might constitute a third polaroplast region were present immediately anterior to the first filament coil. Cytological characteristics and the generic position of the species are discussed, and it is compared to related or resembling species, and to all previously reported microsporidian species from copepods.",Agglomerata lacrima,Acanthocyclops vernalis,hypodermal; adipose,NA,hypodermal; adipose,NA,NA,NA
Agglomerata volgensae,"Light and electron microscopic study of Agglomerata volgensae n. sp. (Microspora: Dubosqiidae), a new microsporidian parasite of Daphnia magna (Crustacea: Daphniidae). The new microsporidium Agglomerata volgensae n. sp. is described based on light microscopic and ultrastructural characteristics. The parasite invades the hypoderm and adipose tissue of Daphnia magna and causes hypertrophy. All life cycle stages have isolated nuclei. Sporogonial plasmodia divide by rosette-like division, producing 4-16, usually 8, sporoblasts. A sporophorous vesicle is initiated after the first nuclear division of the sporont. The fragile vesicle either collects all daughter cells of the sporont, or the vesicle divides together with the plasmodium to enclose spores in individual sporophorous vesicles. Fibril-like projections connect the exospore with the envelope of the sporophorous vesicle. Tubules, with walls of exospore material, are formed together with the sporoblasts. Mature spores are pyriform with pointed anterior pole and an obliquely positioned posterior vacuole. Unfixed spores measure 3.2-3.7x1.7-2.0 μm. The exospore is layered, approximately 38 nm thick. The polar filament is lightly anisofilar with 2-3 wide anterior coils, and 2-3 more narrow posterior coils, in a single layer of coils in the posterior half of the spore. The polaroplast has two regions: irregular wide lamellae or chambers surrounding the straight part of the filament, and more loosely arranged narrow lamellae in the coil region. The discrimination from other microsporidian species and the systematic position are briefly discussed.",Agglomerata volgensae,Daphnia magna,hypodermal; adipose,NA,hypodermal,NA,hypoderm,NA
Alfvenia ceriodaphniae,"Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). On the basis of electronmicroscopic data the description of Alfvenia ceriodaphniae sp. n. from Ceriodaphnia reticulata (Crustacea, Cladocera) is presented. The nuclear apparatus of meronts is diplokariotic. Sporonts, sporoblasts and spores are uninuclear. The sporogonial Plasmodium undertakes the rosette-like division with the formation of sporoblasts. Spores are egg-shaped, their size: 4.5(4.2-4.8) X 3.3(2.9-3.5) ц т . Evry spore lays individually inside the envelope, that is formed from the external layer of the sporoblast wall. Polar tube is isofillar, forming 8 - 9 coils. Polaroplast is consisted of the lamellar and chamber parts. The site of parasite localisation is crustacean hypoderm.",Alfvenia ceriodaphniae,Ceriodaphnia reticulata,Hypodermis,NA,Hypodermis,NA,hypoderm,NA
Alfvenia sibirica,"Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Here we report on two microsporidia from freshwater crustaceans collected during the ongoing survey for microsporidia in the river Karasuk and adjacent waterbodies (Novosibirsk region, Western Siberia). The first species parasitized hypoderm and fat body of a cyclopid Cyclops sp. (Maxillopoda, Copedoda) and produced oval spores, measured 2.0×3.6μm (fixed) enclosed individually or in small groups in fragile sporophorous vesicles (SVs). We describe it here as Alfvenia sibirica sp. n. The second species infected the same tissues of a cladoceran Daphnia magna (Branchiopoda, Phyllopoda). Its spores were pyriform, 2.3×4.0μm (fixed), and resided in relatively persistent SVs in groups of 8–16. This species was identified as a Siberian isolate (Si) of Agglomerata cladocera (Pfeifer) because ultrastructurally it was hardly distinguishable from A. cladocera recorded from England from the same host (Larsson et al., 1996). A. cladocera (Si) shared 99% SSU rDNA sequence similarity to Binucleata daphniae from D. magna collected in Belgium (Refardt et al., 2008). The major outcome of our work is that we present molecular (SSUrDNA) characterization coupled with EM description, for representatives of two genera, Alfvenia (encompasses 3 described so far species) and Agglomerata (7 species), which allowed us to place these two genera on the phylogenetic tree. We also summarized the literature data on Alfvenia and Agglomerata spp., and provided their comparative morphological analysis. These two genera belong to so called “Aquatic outgroup” (Vossbrinck et al., 2004), a poorly resolved lineage, a sister to Amblyosporidae. This lineage probably includes majority of fresh water forms of microsporidia, most of which remain undescribed. SSUrDNA-based phylogenetic analysis and analysis of hosts suggest that diversification within the “Aquatic outgroup” could have been connected with the host switch from dipterans or copepods to cladocerans that had occurred in some ancestral Amblyospora-related lineage(s).",Alfvenia sibirica,Cyclops sp.,Hypoderm; adipose,NA,adipose,NA,fat body,NA
Alloglugea bufonis,"Alloglugea bufonis nov. gen., nov. sp. (Microsporea:Glugeidae), a microsporidian of Bufo marinus tadpoles and metamorphosing toads (Amphibia:Anura) from Amazonian Brazil. A microsporidian infection, due to Alloglugea bufonis nov. gen., nov. sp., is described in the tadpoles and newly metamorphosed toads of Bufo marinus from a lake near Belem, Para, north Brazil. Xenomas occur either singly in the lamina propria of the intestine, or aggregated into cystic bodies of up to 0.2 mm diameter, which emerge above the intestine surface. The xenoma is bounded by a folded plasmalemma with pinocytotic depressions, and there is a central, enlarged nucleus. Plasmodial stages and elongate meronts differentiate ~ n t o ribbon-shaped sporonts and single-nucleated sporo- blasts. The spore cytoplasm is invaginated at the posterior end. Spores escape from the mature xeno- mas into reticuloendothelial cells of the liver, spleen and kidneys of the tadpoles and newly metamorphosed toads, but infection is gradually lost after metamorphosis.",Alloglugea bufonis,Bufo marinus,intestines; liver; spleen; kidney; macrophages; phagocytes,lamina propria; reticuloendothelial cells; blood vessels; glomeruli,intestines; macrophages; phagocytes,blood vessels; glomeruli,lamina propria of the intestine,NA
Alternosema bostrichidis,"Ultrastructure, molecular phylogeny, and prevalence rates of Alternosema bostrichidis gen. nov. sp. nov. (Microsporidia, Terresporidia), a parasite of Prostephanus truncatus and Dinoderus spp. (Coleoptera, Bostrichidae). A new species and a new genus of a microsporidium Alternosema bostrichidis isolated from an adult Prostephanus truncatus in Mexico and from three species of the genus Dinoderus in Nigeria are described. The microsporidium is monomorphic, monoxenic, and develops in direct contact with host cell cytoplasm. The infection first appears with thoracic muscles, followed by a generalized invasion of the host. All developmental stages are diplokaryotic. Sporogony is disporoblastic. Mature spores are ovoid. Unfixed spores measure 3.7–4.2 × 2.0–2.6 μm, fixed and stained spores 3.5–5.0 × 2.4–2.8 μm. The polaroplast consists of dense lamellae and rare lamellae. The polar tube is slightly anisofilar, consisting of 11–17 coils, with 9–14 proximal (130 nm in diameter) and 2–3 distal coils (120 nm in diameter) arranged in one layer. Molecular phylogenetic analysis based upon a short portion of small-subunit ribosomal RNA gene (Genbank accession # KP455651) placed the new microsporidium within Liebermannia-Orthosomella lineage, which contains multiple undescribed parasites. In particular, A. bostrichidis showed maximal sequence similarity of 95% to Microsporidium sp. BBRE2 (# FJ755987) from Baikalian Diplacanthus brevispinus (Amphipoda: Acanthogammaridae) and Microsporidium sp. Comp CD Van 2 (# KC111784) from compost and soil in Canada. Frequent, devastating epizootics of laboratory cultures of A. bostrichidis support its potential as a biological control agent of grain borers.",Alternosema bostrichidis,Prostephanus truncatus,muscles; gonads; midgut epithelium; Malpighian tubules; fat body,vessels,gonads; midgut epithelium; Malpighian tubules; fat body,vessels,NA,NA
Amazonspora hassar,"Amazonspora hassar n. gen. and n. sp. (Phylum Microsporidia, fam. Glugeidae), a parasite of the Amazonian teleost Hassar orestis (fam. Doradidae). We describe the microsporidian Amazonspora hassar n. gen., n. sp. from the gill xenomas of the teleost Hassar orestis (Doradidae) collected in the estuarine region of the Amazon River. The parasite appeared as a small whitish xenoma located in the gill filaments near the blood vessels. Each xenoma consisted of a single hypertrophic host cell (HHC) in the cytoplasm of which the microsporidian developed and proliferated. The xenoma wall was composed of up to approximately 22 juxtaposed crossed layers of collagen fibers. The plasmalemma of the HHC presented numerous anastomosed, microvilli-like structures projecting outward through the 1-3 first internal layers of the collagen fibrils. The parasite was in direct contact with host cell cytoplasm in all stages of the cycle (merogony and sporogony). Sporogony appears to divide by plasmotomy, giving rise to 4 uninucleate sporoblasts, which develop into uninucleate spores. The ellipsoidal spores measured 2.69 ± 0.45 × 1.78 ± 0.18 μm, and the wall measured ∼75 nm. The anchoring disk of the polar filament was subterminal, being shifted laterally from the anterior pole. The polar filament was arranged into 7-8 coils in a single layer in the posterior half of the spore, surrounding the posterior vacuole. The polaroplast surrounded the uncoiled portion of the polar filament, and it was exclusively lamellar. The spores and different life-cycle stages were intermingled within the cytoplasm of the HHC, surrounding the central hypertrophic deeply branched nucleus. The ultrastructural morphology of this microsporidian parasite suggests the erection of a new genus and species.",Amazonspora hassar,Hassar orestis,gills,NA,gills,NA,gill filaments,NA
