species,title_abstract,hosts,infection_site,infection_site_corrected,hosts_corrected,species_corrected
Alternosema bostrichidis,"Ultrastructure, molecular phylogeny, and prevalence rates of Alternosema bostrichidis gen. nov. sp. nov. (Microsporidia, Terresporidia), a parasite of Prostephanus truncatus and Dinoderus spp. (Coleoptera, Bostrichidae). A new species and a new genus of a microsporidium Alternosema bostrichidis isolated from an adult Prostephanus truncatus in Mexico and from three species of the genus Dinoderus in Nigeria are described. The microsporidium is monomorphic, monoxenic, and develops in direct contact with host cell cytoplasm. The infection first appears with thoracic muscles, followed by a generalized invasion of the host. All developmental stages are diplokaryotic. Sporogony is disporoblastic. Mature spores are ovoid. Unfixed spores measure 3.7–4.2 × 2.0–2.6 μm, fixed and stained spores 3.5–5.0 × 2.4–2.8 μm. The polaroplast consists of dense lamellae and rare lamellae. The polar tube is slightly anisofilar, consisting of 11–17 coils, with 9–14 proximal (130 nm in diameter) and 2–3 distal coils (120 nm in diameter) arranged in one layer. Molecular phylogenetic analysis based upon a short portion of small-subunit ribosomal RNA gene (Genbank accession # KP455651) placed the new microsporidium within Liebermannia-Orthosomella lineage, which contains multiple undescribed parasites. In particular, A. bostrichidis showed maximal sequence similarity of 95% to Microsporidium sp. BBRE2 (# FJ755987) from Baikalian Diplacanthus brevispinus (Amphipoda: Acanthogammaridae) and Microsporidium sp. Comp CD Van 2 (# KC111784) from compost and soil in Canada. Frequent, devastating epizootics of laboratory cultures of A. bostrichidis support its potential as a biological control agent of grain borers.",Prostephanus truncatus; Dinoderus bifoveolatus; Dinoderus porcellus; Dinoderus minutus,muscles; gonads; midgut epithelium; Malpighian tubules (vessels); fat body,thoracic muscles (Prostephanus truncatus); thoracic muscles (Dinoderus spp.),Prostephanus truncatus; Dinoderus spp.,
Amblyospora abserrati,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes abserratus; Acanthocyclops vernalis,fat body,NA,Aedes abserratus; Acanthocyclops vernalis,
Amblyospora aestiva,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs. Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Aedes dorsalis; Aedes caspius,fat body,NA,Ae. c. Caspus; Ae. c. dorsalis,
Amblyospora camposi,"Life cycle and description of Amblyospora camposi n. sp. (Microsporidia: Amblyosporidae) in the mosquito Culex renatoi (Diptera, Culicidae) and the copepod Paracyclops fimbriatus fimbriatus (Copepoda, Cyclopidae). The life cycle of Amblyospora camposi n. sp. is described from the mosquito Culex renatoi and the copepod Paracyclops fimbriatus fimbriatus collected in the leaf axils of the plant Eryngium cabrerae in Argentina. Meiospores of A. camposi (5.8 x 4.1 μm) were infectious per os to female adults of the copepod P. f. fimbriatus. All developmental stages in the copepod had unpaired nuclei, with sporulation involving the formation of a sub-persistent, sporontogenic, interfacial envelope and the production of a second type of uninucleate spore. These spores, formed in the ovaries of P. f. fimbriatus, were large, pyriform, and measured 10.70 x 3.85 μm. When ingested they infected C. renatoi larvae to initiate a sequence that involves schizogony and gametogony and ends with plasmogamy and nuclear association to form diplokaryotic meronts. Oblong ovate binucleate spores (7.86 x 2.96 μm) are formed in the adult mosquito and are responsible for vertical transmission to the filial generation. This is the first report of an Amblyospora species from a mosquito that inhabits the small-water bodies held in parts of terresterial plants (phytotelmata).",Culex renatoi; Paracyclops fimbriatus fimbriatus,ovaries (P. f. Fimbriatus),NA,Culex renatoi; P. f. Fimbriatus,
Amblyospora cinerei,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes cinereus; Acanthocyclops vernalis,fat body,NA,Aedes cinereus,
Amblyospora dolosi,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",Culex dolosus; Metacyclops mendocinus,fat body (of Culex dolosus); ovary (of Metacyclops mendocinus),NA,,
Amblyospora flavescens,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,adipose,NA,,
Amblyospora indicola,Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods,Culex sitiens; Apocyclops sp.,fat body (of Culex sitiens larva); ovary (Apocyclops sp.),NA,,
Amblyospora kolarovi,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,adipose,NA,,
Amblyospora orbiculata,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,adipose,NA,,
