title_abstract,species,spore_shape,spore_shape_formatted,shapes_not_in_text,shapes_not_in_text_corrected
"A Hepatopancreatic Microsporidian in Pond-Reared Tiger Shrimp, Penaeus Monodon, from Malaysia",Ameson sp.,oval,['oval'],{'oval'},
"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Enteropsectra breve; Enteropsectra longa; Nematocida ausubeli; Nematocida ciargi; Nematocida homosporus; Nematocida major; Nematocida minor; Pancytospora epiphaga; Pancytospora philotis,ovoid || long thin rod || ovoid || ovoid || ovoid || ovoid || ovoid || ovoid || long thin rod,"['ovoid', 'long thin rod', 'ovoid', 'ovoid', 'ovoid', 'ovoid', 'ovoid', 'ovoid', 'long thin rod']","{'long thin rod', 'ovoid'}",
"A Microsporidian Infection in Otiorrhynchus Equestris (Coleoptera, Curculionidae). Two microsporidian infections were found in one infeted Otiorrhynchus equestris Richter: Nosema adjuncta sp. n. infects the ovaries, Nosema equestris sp. n. infects the connective tissue, Malpighian tubes, oenocytes and fat body. The infection was transferred to Gastroidea viridula and Leptinotarsa decemlineata where it infected the same tissues and caused larval mortality. (http://zoospol.cz/?sekce=act&jazyk=en)",Nosema adjuncta; Nosema equestris,elongate; ovoid || ovoid,"['elongate', 'ovoid', 'ovoid']","{'elongate', 'ovoid'}",
"A NEW MICROSPORIDIUM(MICROSPOREDIA,BURENELLIDAE) FROM THE INSECT OF LEPIDOPTERA, CERACE STIPATANA (WALKER). A previously undescribed microsporidum is isolated from the Cerace stipatana (Walker) in October 2000, in Langzhong, Sichuan Province, China. We describe this microsporidium as a new species of Vairimorpha, and name it as Vairimorpha ceraces sp.nov. According to taxonomy system (Sprague, 1992), it belongs to Phylum Microspora, Class Dihalophasea, Order meiodihalophasea and Family Burenellidae. Type Host. Cerace stipatana Walker (Lepidop- tera, Tortricoidea). Site of Infection. Infection to midgut epithelial and muscle cells, fat body, derma cell. Type Locality. Langzhong, Sichuan Province(32°N,105°E),China. Prevalence of infection. Seventy-five of three hundred larvae, Cerace stipatana examined were infected (25%). Diagnosis. Spore is oval in shape and 3.1μm±0.3μm(2.5-3.5μm)×1.6μm±0.2μm(1.5-1.9μm) in size. Binucleate spore with 10 to 12 coils of polar filaments,and uninucleate spore with 7 to 9 coils. The spore size and polar filament coil numbers are smaller than other species of Vairimorpha. Developmental cycle passes merogony stage and sporogony stage. Meronts are spherical in shape and multiplication depend the binary fission of meront nucleus. Sporonts are binucleate and fusiform. Sporogony includes not only octosporoblast form with uninucleate spore but also bispores form with binucleate spore. Interface feature between the microsporidium and host cytoplansm showing that meronts, sporont and bisporoblasts are face to face. But sporonts form octospores when it is enclosed by the sporphorous membrane. Type specimens. Syntypes with spores on slide (No. cq-20001012) and spores put into small glass bottle were deposited in the Southwest Agricultural University, Key Sericulture Laboratory of the Agricultural Ministry, China.",Vairimorpha ceraces,Oval to Pyriform,['oval to pyriform'],{'oval to pyriform'},oval
"A NEW SPECIES OF MICROSPORIDIANS, THELOHANIA ASSOVI SP. N. (MICROSPORIDIA, NOSEMATIDAE), FROM LARVAE OF BLACK FLIES",Thelohania assovi,oblong-oval; ovoid,"['oblong-oval', 'ovoid']","{'oblong-oval', 'ovoid'}",
"A New Microsporidian Infecting the Musculature of the Endangered Tidewater Goby (Gobiidae). A previously unrecognized microsporidian (Kabatana newberryi n. sp.) is described from the musculature of Eucyclogobius newberryi (Gobiidae) in Big Lagoon, Humboldt County, California. Spores are ovoid, ranging in size from 2.8 ± 0.3 micrometers in total length and 1.9 ± 0.4 micrometers in width (measurements of 30 spores made by calculation from micrograph). The polar filament has 9-10 coils in 1-2 rows. Development occurs in direct contact with host muscle cell cytoplasm, without xenoma or sporophorous vesicle. Phylogenetic analysis of the new species and of 35 other microsporidians known to infect fish using 1,115 base pairs of aligned 1 6S rRNA gene indicate the new species is most closely related to Kabatana takedai. However, the new species differs by 11 % sequence divergence from K. takedai. Divergence in morphology and genetic data allow for diagnosis from all other fish-infecting microsporidia and supports recognition of a new species of microsporidian, Kabatana newberryi n. sp., presently known only from a suspected specific host, the endangered tidewater goby Eucyclogobius newberryi.",Kabatana newberryi,oval,['oval'],{'oval'},ovoid
"A New Microsporidian, Pleistophora Atretii Sp. n. from the Fresh Water Snake, Atretium Schistosum Günther",Pleistophora atretii,oval,['oval'],{'oval'},
"A New Microsporidian, Pleistophora Blatellae Sp. n. from the Malpighian Tubules of Blatella Germanica. A new species of a microsporidian parasite, Pleistophora blatellae parasitic in the epithelial cells of the Malpighian tubules of Blatella germanica is described.",Pleistophora blatellae,oval,['oval'],{'oval'},
"A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera. A new microsporidian parasite of a freshwater cladoceran from southern Sweden is described using light and electron microscopical methods. Development comprises 2 merogonial sequences, the first resulting in a cluster of 8 merozoites, the second in a chain of 4 merozoites. Each secondary merozoite develops into a sporont which divides into 2 sporoblasts, each of which develops into a spore. The spores are broadly oval and in fresh smears measure about 6 fim in length, with a single nucleus and a posterosome. The polar filament is about 40 fim long, of even thickness throughout, and appears as 15—18 coils in a single layer. The anchoring disc is small and the polaroplast is composed of 2 lamellar parts. Outside the plasma membrane of the sporont a 5-layered, electrondense substance is produced, which further differentiates into endo- and exospore, an electron-dense substance occurring patchily on the exospore and a pansporoblast membrane. During development the sporoblasts and the young spores are connected by a dense substance. Mature spores appear single or paired. The pansporoblast membrane is composed of 2 structurally different layers, namely a thin outer, single membrane and an inner layer composed of tubular structures. It is connected to the spore coat by patches of the dense substance. The new microsporidium is considered to belong to a new genus of the family Telomyxidae, and its systematic relationship with this and the related family Tuzetiidae is discussed. A survey of microsporidia from Cladocera is included.",Berwaldia singularis (1),broadly oval; elongate oval,"['broadly oval', 'elongate oval']",{'elongate oval'},
"A New Microsporidium from the Oyster Ostrea /Maria in New Zealand. Microsporidium rapuae n. sp. (Microsporida) forms cysts within the connective tissue surrounding the gut epithelium of the oyster Ostreu luturiu. Except for encapsulation of the cysts by fibroblasts no pathogenic effects were observed. Each cyst contained a large number of spores possessing long well-developed polar filaments. This is the third Microspora recorded from Bivalvia (Mollusca), and the first which does not belong to the family Chytridiopsidae (Minisporida).",Microsporidium rapuae,Oval,['oval'],{'oval'},
